
========== Periférico Metropolitano ==========

========== Avenida Central ==========
Minuto   1 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto  19 | Avenida Central | Tráfico:   3 veh/min | Variación:  +3 | Estado: Fluido
Minuto  20 | Periférico Metropolitano | Tráfico:   9 veh/min | Variación:  +1 | Estado: Fluido
Minuto  20 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -5 | Estado: Fluido
Minuto  20 | Avenida Central | Tráfico:  11 veh/min | Variación:  +8 | Estado: Fluido
Minuto  21 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto  21 | Avenida Central | Tráfico:   4 veh/min | Variación:  -7 | Estado: Fluido
Minuto  21 | Periférico Metropolitano | Tráfico:  11 veh/min | Variación:  +2 | Estado: Fluido
Minuto  22 | Avenida Central | Tráfico:  12 veh/min | Variación:  +8 | Estado: Fluido
Minuto  22 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  +0 | Estado: Fluido
Minuto  22 | Periférico Metropolitano | Tráfico:  18 veh/min | Variación:  +7 | Estado: Fluido
Minuto  23 | Avenida Central | Tráfico:  12 veh/min | Variación:  +0 | Estado: Fluido
Minuto  23 | Carretera Nacional | Tráfico:   2 veh/min | Variación:  +2 | Estado: Fluido
Minuto  23 | Periférico Metropolitano | Tráfico:  11 veh/min | Variación:  -7 | Estado: Fluido
Minuto  24 | Periférico Metropolitano | Tráfico:  10 veh/min | Variación:  -1 | Estado: Fluido
Minuto  24 | Avenida Central | Tráfico:  17 veh/min | Variación:  +5 | Estado: Fluido
Minuto  24 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto  25 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  +5 | Estado: Fluido
Minuto  25 | Avenida Central | Tráfico:   9 veh/min | Variación:  -8 | Estado: Fluido
Minuto  25 | Periférico Metropolitano | Tráfico:  17 veh/min | Variación:  +7 | Estado: Fluido
Minuto  26 | Avenida Central | Tráfico:   7 veh/min | Variación:  -2 | Estado: Fluido
Minuto  26 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  +4 | Estado: Fluido
Minuto  26 | Periférico Metropolitano | Tráfico:  21 veh/min | Variación:  +4 | Estado: Moderado
Minuto  27 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  -8 | Estado: Fluido
Minuto  27 | Periférico Metropolitano | Tráfico:  14 veh/min | Variación:  -7 | Estado: Fluido
Minuto  27 | Avenida Central | Tráfico:   5 veh/min | Variación:  -2 | Estado: Fluido
Minuto  28 | Carretera Nacional | Tráfico:   8 veh/min | Variación:  +7 | Estado: Fluido
Minuto  28 | Periférico Metropolitano | Tráfico:  22 veh/min | Variación:  +8 | Estado: Moderado
Minuto  28 | Avenida Central | Tráfico:   7 veh/min | Variación:  +2 | Estado: Fluido
Minuto  29 | Periférico Metropolitano | Tráfico:  25 veh/min | Variación:  +3 | Estado: Moderado
Minuto  29 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  +1 | Estado: Fluido
Minuto  29 | Avenida Central | Tráfico:  13 veh/min | Variación:  +6 | Estado: Fluido
Minuto  30 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  -3 | Estado: Fluido
Minuto  30 | Periférico Metropolitano | Tráfico:  31 veh/min | Variación:  +6 | Estado: Moderado
Minuto  30 | Avenida Central | Tráfico:   9 veh/min | Variación:  -4 | Estado: Fluido
Minuto  31 | Avenida Central | Tráfico:   8 veh/min | Variación:  -1 | Estado: Fluido
Minuto  31 | Periférico Metropolitano | Tráfico:  29 veh/min | Variación:  -2 | Estado: Moderado
Minuto  31 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto  32 | Periférico Metropolitano | Tráfico:  36 veh/min | Variación:  +7 | Estado: Moderado
Minuto  32 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -6 | Estado: Fluido
Minuto  32 | Avenida Central | Tráfico:  11 veh/min | Variación:  +3 | Estado: Fluido
Minuto  33 | Periférico Metropolitano | Tráfico:  39 veh/min | Variación:  +3 | Estado: Moderado
Minuto  33 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  +5 | Estado: Fluido
Minuto  33 | Avenida Central | Tráfico:  16 veh/min | Variación:  +5 | Estado: Fluido
Minuto  34 | Avenida Central | Tráfico:  17 veh/min | Variación:  +1 | Estado: Fluido
Minuto  34 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  +1 | Estado: Fluido
Minuto  34 | Periférico Metropolitano | Tráfico:  39 veh/min | Variación:  +0 | Estado: Moderado
Minuto  35 | Periférico Metropolitano | Tráfico:  47 veh/min | Variación:  +8 | Estado: Congestionado
Minuto  35 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto  35 | Avenida Central | Tráfico:  16 veh/min | Variación:  -1 | Estado: Fluido
Minuto  36 | Avenida Central | Tráfico:  14 veh/min | Variación:  -2 | Estado: Fluido
Minuto  36 | Periférico Metropolitano | Tráfico:  46 veh/min | Variación:  -1 | Estado: Congestionado
Minuto  36 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  +1 | Estado: Fluido
Minuto  37 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -5 | Estado: Fluido
Minuto  37 | Avenida Central | Tráfico:  15 veh/min | Variación:  +1 | Estado: Fluido
Minuto  37 | Periférico Metropolitano | Tráfico:  43 veh/min | Variación:  -3 | Estado: Congestionado
Minuto  38 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -1 | Estado: Fluido
Minuto  38 | Periférico Metropolitano | Tráfico:  41 veh/min | Variación:  -2 | Estado: Congestionado
Minuto  38 | Avenida Central | Tráfico:  18 veh/min | Variación:  +3 | Estado: Fluido
Minuto  39 | Periférico Metropolitano | Tráfico:  45 veh/min | Variación:  +4 | Estado: Congestionado
Minuto  39 | Carretera Nacional | Tráfico:   8 veh/min | Variación:  +8 | Estado: Fluido
Minuto  39 | Avenida Central | Tráfico:  15 veh/min | Variación:  -3 | Estado: Fluido
Minuto  40 | Periférico Metropolitano | Tráfico:  51 veh/min | Variación:  +6 | Estado: Congestionado
Minuto  40 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  -3 | Estado: Fluido
Minuto  40 | Avenida Central | Tráfico:   8 veh/min | Variación:  -7 | Estado: Fluido
Minuto  41 | Avenida Central | Tráfico:   9 veh/min | Variación:  +1 | Estado: Fluido
Minuto  41 | Periférico Metropolitano | Tráfico:  56 veh/min | Variación:  +5 | Estado: Congestionado
Minuto  41 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  +0 | Estado: Fluido
Minuto  42 | Periférico Metropolitano | Tráfico:  48 veh/min | Variación:  -8 | Estado: Congestionado
Minuto  42 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -8 | Estado: Fluido
Minuto  42 | Avenida Central | Tráfico:   6 veh/min | Variación:  -3 | Estado: Fluido
Minuto  43 | Avenida Central | Tráfico:  11 veh/min | Variación:  +5 | Estado: Fluido
Minuto  43 | Periférico Metropolitano | Tráfico:  41 veh/min | Variación:  -7 | Estado: Congestionado
Minuto  43 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto  44 | Periférico Metropolitano | Tráfico:  35 veh/min | Variación:  -6 | Estado: Moderado
Minuto  44 | Avenida Central | Tráfico:  18 veh/min | Variación:  +7 | Estado: Fluido
Minuto  44 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto  45 | Carretera Nacional | Tráfico:   2 veh/min | Variación:  +2 | Estado: Fluido
Minuto  45 | Periférico Metropolitano | Tráfico:  27 veh/min | Variación:  -8 | Estado: Moderado
Minuto  45 | Avenida Central | Tráfico:  15 veh/min | Variación:  -3 | Estado: Fluido
Minuto  46 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto  46 | Avenida Central | Tráfico:  16 veh/min | Variación:  +1 | Estado: Fluido
Minuto  46 | Periférico Metropolitano | Tráfico:  19 veh/min | Variación:  -8 | Estado: Fluido
Minuto  47 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  +5 | Estado: Fluido
Minuto  47 | Periférico Metropolitano | Tráfico:  11 veh/min | Variación:  -8 | Estado: Fluido
Minuto  47 | Avenida Central | Tráfico:   8 veh/min | Variación:  -8 | Estado: Fluido
Minuto  48 | Carretera Nacional | Tráfico:   8 veh/min | Variación:  +3 | Estado: Fluido
Minuto  48 | Periférico Metropolitano | Tráfico:   7 veh/min | Variación:  -4 | Estado: Fluido
Minuto  48 | Avenida Central | Tráfico:   2 veh/min | Variación:  -6 | Estado: Fluido
Minuto  49 | Avenida Central | Tráfico:   7 veh/min | Variación:  +5 | Estado: Fluido
Minuto  49 | Periférico Metropolitano | Tráfico:  10 veh/min | Variación:  +3 | Estado: Fluido
Minuto  49 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  -7 | Estado: Fluido
Minuto  50 | Periférico Metropolitano | Tráfico:  14 veh/min | Variación:  +4 | Estado: Fluido
Minuto  50 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto  50 | Avenida Central | Tráfico:   7 veh/min | Variación:  +0 | Estado: Fluido
Minuto  51 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -5 | Estado: Fluido
Minuto  51 | Periférico Metropolitano | Tráfico:   9 veh/min | Variación:  -5 | Estado: Fluido
Minuto  51 | Avenida Central | Tráfico:   4 veh/min | Variación:  -3 | Estado: Fluido
Minuto  52 | Periférico Metropolitano | Tráfico:   3 veh/min | Variación:  -6 | Estado: Fluido
Minuto  52 | Carretera Nacional | Tráfico:   7 veh/min | Variación:  +7 | Estado: Fluido
Minuto  52 | Avenida Central | Tráfico:  11 veh/min | Variación:  +7 | Estado: Fluido
Minuto  53 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  +2 | Estado: Fluido
Minuto  53 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -6 | Estado: Fluido
Minuto  53 | Avenida Central | Tráfico:   5 veh/min | Variación:  -6 | Estado: Fluido
Minuto  54 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto  54 | Carretera Nacional | Tráfico:   2 veh/min | Variación:  -7 | Estado: Fluido
Minuto  54 | Avenida Central | Tráfico:   5 veh/min | Variación:  +0 | Estado: Fluido
Minuto  55 | Avenida Central | Tráfico:   1 veh/min | Variación:  -4 | Estado: Fluido
Minuto  55 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto  55 | Periférico Metropolitano | Tráfico:   6 veh/min | Variación:  +6 | Estado: Fluido
Minuto  56 | Periférico Metropolitano | Tráfico:   9 veh/min | Variación:  +3 | Estado: Fluido
Minuto  56 | Avenida Central | Tráfico:   3 veh/min | Variación:  +2 | Estado: Fluido
Minuto  56 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto  57 | Periférico Metropolitano | Tráfico:   5 veh/min | Variación:  -4 | Estado: Fluido
Minuto  57 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -1 | Estado: Fluido
Minuto  57 | Avenida Central | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto  58 | Carretera Nacional | Tráfico:   3 veh/min | Variación:  +3 | Estado: Fluido
Minuto  58 | Periférico Metropolitano | Tráfico:   3 veh/min | Variación:  -2 | Estado: Fluido
Minuto  58 | Avenida Central | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto  59 | Avenida Central | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto  59 | Carretera Nacional | Tráfico:   3 veh/min | Variación:  +0 | Estado: Fluido
Minuto  59 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -5 | Estado: Fluido
Minuto  60 | Avenida Central | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto  60 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  +2 | Estado: Fluido
Minuto  60 | Periférico Metropolitano | Tráfico:   1 veh/min | Variación:  +1 | Estado: Fluido
Minuto  61 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  +4 | Estado: Fluido
Minuto  61 | Periférico Metropolitano | Tráfico:   2 veh/min | Variación:  +1 | Estado: Fluido
Minuto  61 | Avenida Central | Tráfico:   3 veh/min | Variación:  +3 | Estado: Fluido
Minuto  62 | Periférico Metropolitano | Tráfico:  10 veh/min | Variación:  +8 | Estado: Fluido
Minuto  62 | Carretera Nacional | Tráfico:  12 veh/min | Variación:  +3 | Estado: Fluido
Minuto  62 | Avenida Central | Tráfico:   2 veh/min | Variación:  -1 | Estado: Fluido
Minuto  63 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  -3 | Estado: Fluido
Minuto  63 | Periférico Metropolitano | Tráfico:  10 veh/min | Variación:  +0 | Estado: Fluido
Minuto  63 | Avenida Central | Tráfico:   0 veh/min | Variación:  -6 | Estado: Fluido
Minuto  64 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  +0 | Estado: Fluido
Minuto  64 | Periférico Metropolitano | Tráfico:   7 veh/min | Variación:  -3 | Estado: Fluido
Minuto  64 | Avenida Central | Tráfico:   0 veh/min | Variación:  -8 | Estado: Fluido
Minuto  65 | Avenida Central | Tráfico:   0 veh/min | Variación:  +0 | Estado: Fluido
Minuto  65 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto  65 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  -4 | Estado: Fluido
Minuto  66 | Avenida Central | Tráfico:   0 veh/min | Variación:  -5 | Estado: Fluido
Minuto  66 | Carretera Nacional | Tráfico:  11 veh/min | Variación:  +6 | Estado: Fluido
Minuto  66 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto  67 | Carretera Nacional | Tráfico:   4 veh/min | Variación:  -7 | Estado: Fluido
Minuto  67 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto  67 | Avenida Central | Tráfico:   2 veh/min | Variación:  +2 | Estado: Fluido
Minuto  68 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  +5 | Estado: Fluido
Minuto  68 | Avenida Central | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto  68 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  +0 | Estado: Fluido
Minuto  69 | Avenida Central | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto  69 | Carretera Nacional | Tráfico:  17 veh/min | Variación:  +8 | Estado: Fluido
Minuto  69 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto  70 | Avenida Central | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto  70 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  +0 | Estado: Fluido
Minuto  70 | Carretera Nacional | Tráfico:  13 veh/min | Variación:  -4 | Estado: Fluido
Minuto  71 | Avenida Central | Tráfico:   0 veh/min | Variación:  -1 | Estado: Fluido
Minuto  71 | Carretera Nacional | Tráfico:  16 veh/min | Variación:  +3 | Estado: Fluido
Minuto  71 | Periférico Metropolitano | Tráfico:   1 veh/min | Variación:  +1 | Estado: Fluido
Minuto  72 | Avenida Central | Tráfico:   4 veh/min | Variación:  +4 | Estado: Fluido
Minuto  72 | Periférico Metropolitano | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto  72 | Carretera Nacional | Tráfico:  20 veh/min | Variación:  +4 | Estado: Fluido
Minuto  73 | Carretera Nacional | Tráfico:  21 veh/min | Variación:  +1 | Estado: Moderado
Minuto  73 | Periférico Metropolitano | Tráfico:   4 veh/min | Variación:  +4 | Estado: Fluido
Minuto  73 | Avenida Central | Tráfico:   7 veh/min | Variación:  +3 | Estado: Fluido
Minuto  74 | Carretera Nacional | Tráfico:  25 veh/min | Variación:  +4 | Estado: Moderado
Minuto  74 | Periférico Metropolitano | Tráfico:   5 veh/min | Variación:  +1 | Estado: Fluido
Minuto  74 | Avenida Central | Tráfico:   7 veh/min | Variación:  +0 | Estado: Fluido
Minuto  75 | Avenida Central | Tráfico:   2 veh/min | Variación:  -5 | Estado: Fluido
Minuto  75 | Periférico Metropolitano | Tráfico:  11 veh/min | Variación:  +6 | Estado: Fluido
Minuto  75 | Carretera Nacional | Tráfico:  21 veh/min | Variación:  -4 | Estado: Moderado
Minuto  76 | Periférico Metropolitano | Tráfico:  18 veh/min | Variación:  +7 | Estado: Fluido
Minuto  76 | Carretera Nacional | Tráfico:  14 veh/min | Variación:  -7 | Estado: Fluido
Minuto  76 | Avenida Central | Tráfico:   0 veh/min | Variación:  -8 | Estado: Fluido
Minuto  77 | Avenida Central | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto  77 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  -8 | Estado: Fluido
Minuto  77 | Periférico Metropolitano | Tráfico:  20 veh/min | Variación:  +2 | Estado: Fluido
Minuto  78 | Periférico Metropolitano | Tráfico:  24 veh/min | Variación:  +4 | Estado: Moderado
Minuto  78 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  +3 | Estado: Fluido
Minuto  78 | Avenida Central | Tráfico:   0 veh/min | Variación:  -2 | Estado: Fluido
Minuto  79 | Carretera Nacional | Tráfico:  15 veh/min | Variación:  +6 | Estado: Fluido
Minuto  79 | Periférico Metropolitano | Tráfico:  22 veh/min | Variación:  -2 | Estado: Moderado
Minuto  79 | Avenida Central | Tráfico:   0 veh/min | Variación:  -8 | Estado: Fluido
Minuto  80 | Carretera Nacional | Tráfico:   9 veh/min | Variación:  -6 | Estado: Fluido
Minuto  80 | Avenida Central | Tráfico:   0 veh/min | Variación:  -3 | Estado: Fluido
Minuto  80 | Periférico Metropolitano | Tráfico:  17 veh/min | Variación:  -5 | Estado: Fluido
Minuto  81 | Periférico Metropolitano | Tráfico:  14 veh/min | Variación:  -3 | Estado: Fluido
Minuto  81 | Carretera Nacional | Tráfico:  11 veh/min | Variación:  +2 | Estado: Fluido
Minuto  81 | Avenida Central | Tráfico:   8 veh/min | Variación:  +8 | Estado: Fluido
Minuto  82 | Avenida Central | Tráfico:   1 veh/min | Variación:  -7 | Estado: Fluido
Minuto  82 | Carretera Nacional | Tráfico:   6 veh/min | Variación:  -5 | Estado: Fluido
Minuto  82 | Periférico Metropolitano | Tráfico:  19 veh/min | Variación:  +5 | Estado: Fluido
Minuto  83 | Avenida Central | Tráfico:   0 veh/min | Variación:  -1 | Estado: Fluido
Minuto  83 | Periférico Metropolitano | Tráfico:  21 veh/min | Variación:  +2 | Estado: Moderado
Minuto  83 | Carretera Nacional | Tráfico:   2 veh/min | Variación:  -4 | Estado: Fluido
Minuto  84 | Periférico Metropolitano | Tráfico:  21 veh/min | Variación:  +0 | Estado: Moderado
Minuto  84 | Carretera Nacional | Tráfico:   5 veh/min | Variación:  +3 | Estado: Fluido
Minuto  84 | Avenida Central | Tráfico:   4 veh/min | Variación:  +4 | Estado: Fluido
Minuto  85 | Carretera Nacional | Tráfico:   8 veh/min | Variación:  +3 | Estado: Fluido
Minuto  85 | Avenida Central | Tráfico:   3 veh/min | Variación:  -1 | Estado: Fluido
Minuto  85 | Periférico Metropolitano | Tráfico:  20 veh/min | Variación:  -1 | Estado: Fluido
Minuto  86 | Carretera Nacional | Tráfico:   3 veh/min | Variación:  -5 | Estado: Fluido
Minuto  86 | Avenida Central | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto  86 | Periférico Metropolitano | Tráfico:  23 veh/min | Variación:  +3 | Estado: Moderado
Minuto  87 | Avenida Central | Tráfico:   4 veh/min | Variación:  +4 | Estado: Fluido
Minuto  87 | Carretera Nacional | Tráfico:   7 veh/min | Variación:  +4 | Estado: Fluido
Minuto  87 | Periférico Metropolitano | Tráfico:  25 veh/min | Variación:  +2 | Estado: Moderado
Minuto  88 | Periférico Metropolitano | Tráfico:  21 veh/min | Variación:  -4 | Estado: Moderado
Minuto  88 | Avenida Central | Tráfico:   0 veh/min | Variación:  -8 | Estado: Fluido
Minuto  88 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  -6 | Estado: Fluido
Minuto  89 | Periférico Metropolitano | Tráfico:  27 veh/min | Variación:  +6 | Estado: Moderado
Minuto  89 | Avenida Central | Tráfico:   5 veh/min | Variación:  +5 | Estado: Fluido
Minuto  89 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -5 | Estado: Fluido
Minuto  90 | Avenida Central | Tráfico:   8 veh/min | Variación:  +3 | Estado: Fluido
Minuto  90 | Carretera Nacional | Tráfico:   7 veh/min | Variación:  +7 | Estado: Fluido
Minuto  90 | Periférico Metropolitano | Tráfico:  27 veh/min | Variación:  +0 | Estado: Moderado
Minuto  91 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  -6 | Estado: Fluido
Minuto  91 | Periférico Metropolitano | Tráfico:  24 veh/min | Variación:  -3 | Estado: Moderado
Minuto  91 | Avenida Central | Tráfico:   1 veh/min | Variación:  -7 | Estado: Fluido
Minuto  92 | Periférico Metropolitano | Tráfico:  26 veh/min | Variación:  +2 | Estado: Moderado
Minuto  92 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -4 | Estado: Fluido
Minuto  92 | Avenida Central | Tráfico:   0 veh/min | Variación:  -1 | Estado: Fluido
Minuto  93 | Carretera Nacional | Tráfico:   3 veh/min | Variación:  +3 | Estado: Fluido
Minuto  93 | Avenida Central | Tráfico:   5 veh/min | Variación:  +5 | Estado: Fluido
Minuto  93 | Periférico Metropolitano | Tráfico:  30 veh/min | Variación:  +4 | Estado: Moderado
Minuto  94 | Carretera Nacional | Tráfico:   0 veh/min | Variación:  -7 | Estado: Fluido
Minuto  94 | Avenida Central | Tráfico:  13 veh/min | Variación:  +8 | Estado: Fluido
Minuto  94 | Periférico Metropolitano | Tráfico:  34 veh/min | Variación:  +4 | Estado: Moderado
Minuto  95 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  +1 | Estado: Fluido
